index_date;gerdau_price
2001-01;2.377777
2001-02;2.111111
2001-03;2.111111
2001-04;2.244444
2001-05;1.755555
2001-06;1.977777
2001-07;1.888888
2001-08;1.844444
2001-09;1.511111
2001-10;2.111111
2001-11;2.444444
2001-12;2.377777
2002-01;2.555555
2002-02;3.066666
2002-03;3.133333
2002-04;3.511111
2002-05;3.444444
2002-06;3.244444
2002-07;3.244444
2002-08;3.666666
2002-09;2.866666
2002-10;3.777777
2002-11;3.6
2002-12;3.844444
2003-01;3.533333
2003-02;3.688888
2003-03;3.422222
2003-04;3.955555
2003-05;3.393333
2003-06;3.658888
2003-07;3.754444
2003-08;4.93
2003-09;4.538888
2003-10;4.637777
2003-11;5.444444
2003-12;6.777777
2004-01;6.805555
2004-02;6.922222
2004-03;7.466666
2004-04;6.888888
2004-05;7.288888
2004-06;8.255555
2004-07;9.597777
2004-08;10.766666
2004-09;10.355555
2004-10;9.375555
2004-11;10.88
2004-12;10.555555
2005-01;9.866666
2005-02;11.322222
2005-03;9.844444
2005-04;8.11
2005-05;8.1
2005-06;7.533333
2005-07;8.3
2005-08;9.516666
2005-09;11.156666
2005-10;10.18
2005-11;10.926666
2005-12;13.1
2006-01;16
2006-02;16.216665
2006-03;16.200001
2006-04;18.030001
2006-05;15.685
2006-06;16.17
2006-07;17.049999
2006-08;15.61
2006-09;14.84
2006-10;15.82
2006-11;16.940001
2006-12;17.455
2007-01;17.9
2007-02;18.105
2007-03;18.75
2007-04;20.745001
2007-05;21.75
2007-06;24.700001
2007-07;23.700001
2007-08;24
2007-09;24.129999
2007-10;27.1
2007-11;25.395
2007-12;25.98
2008-01;25.98
2008-02;25.98
2008-03;25.98
2008-04;25.98
2008-05;25.98
2008-06;25.98
2008-07;34.299999
2008-08;28.360001
2008-09;28.360001
2008-10;28.360001
2008-11;28.360001
2008-12;15.06
2009-01;16.799999
2009-02;16.799999
2009-03;16.799999
2009-04;16.799999
2009-05;20.610001
2009-06;20.5
2009-07;21.93
2009-08;22.059999
2009-09;23.75
2009-10;26.299999
2009-11;27.1
2009-12;29.139999
2010-01;25.34
2010-02;25.379999
2010-03;25.379999
2010-04;25.379999
2010-05;25
2010-06;23.59
2010-07;25.4
2010-08;23.360001
2010-09;22.700001
2010-10;22
2010-11;19.5
2010-12;22.67
2011-01;21.35
2011-02;21.99
2011-03;20.280001
2011-04;18.9
2011-05;17.309999
2011-06;16.299999
2011-07;13.85
2011-08;13.6
2011-09;13.35
2011-10;15.7
2011-11;13.5
2011-12;14.5
2012-01;16.65
2012-02;17.950001
2012-03;17.459999
2012-04;17.92
2012-05;15.86
2012-06;17.700001
2012-07;18.620001
2012-08;17.940001
2012-09;19.280001
2012-10;17.75
2012-11;17.719999
2012-12;17.93
2013-01;17.469999
2013-02;16.450001
2013-03;15.37
2013-04;15.62
2013-05;13.05
2013-06;12.56
2013-07;14.59
2013-08;17.15
2013-09;16.6
2013-10;17.73
2013-11;18
2013-12;18.34
2014-01;17.15
2014-02;14.44
2014-03;14.52
2014-04;13.38
2014-05;13.33
2014-06;12.94
2014-07;13.35
2014-08;12.99
2014-09;11.78
2014-10;11.09
2014-11;10.9
2014-12;9.58
2015-01;9.27
2015-02;10.14
2015-03;10.1
2015-04;10.02
2015-05;8.61
2015-06;7.49
2015-07;5.89
2015-08;5.25
2015-09;5.47
2015-10;5.43
2015-11;6.1
2015-12;4.65
2016-01;3.6
2016-02;3.53
2016-03;6.54
2016-04;7.81
2016-05;5.57
2016-06;5.89
2016-07;7.75
2016-08;9.08
2016-09;8.86
2016-10;11.02
2016-11;13.55
2016-12;10.8
2017-01;12.2
2017-02;12.95
2017-03;10.89
2017-04;9.8
2017-05;9.54
2017-06;10.28
2017-07;10.66
2017-08;11.85
2017-09;11.04
2017-10;10.95
2017-11;11.08
2017-12;12.38
2018-01;14.4
2018-02;16.620001
2018-03;15.5
2018-04;16.65
2018-05;14.8
2018-06;13.91
2018-07;16.68
2018-08;16.040001
2018-09;17.190001
2018-10;16.26
2018-11;15.48
2018-12;14.82
2019-01;15.65
2019-02;15.14
2019-03;15.14
2019-04;14.15
2019-05;13.87
2019-06;15.2
2019-07;13.75
2019-08;12.87
2019-09;13.16
2019-10;13.43
2019-11;17
2019-12;20
2020-01;20.049999
2020-02;16.93
2020-03;10.05
2020-04;11.74
2020-05;13.43
2020-06;16.01
2020-07;17.450001
2020-08;19.09
2020-09;20.799999
2020-10;21.809999
2020-11;22.6
2020-12;24.450001
2021-01;23.25
2021-02;25.870001
2021-03;30.219999
2021-04;33.220001
2021-05;32.919998
2021-06;29.610001
2021-07;30.799999
2021-08;28.32
2021-09;27.1
2021-10;26.9
2021-11;25.799999
2021-12;26.950001
2021-12;26.950001
